Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98668 W71.25331	07-06-2018 15:08:18 (UTC-4)	206 m			11 m	0:00:06	6 kph	320° true
Trackpoint	S34.98660 W71.25339	07-06-2018 15:08:24 (UTC-4)	204 m			12 m	0:00:06	7 kph	325° true
Trackpoint	S34.98657 W71.25350	07-06-2018 15:08:30 (UTC-4)	202 m			11 m	0:00:06	7 kph	288° true
Trackpoint	S34.98656 W71.25351	07-06-2018 15:08:36 (UTC-4)	203 m			1 m	0:00:06	0.8 kph	316° true
Trackpoint	S34.98656 W71.25352	07-06-2018 15:08:42 (UTC-4)	203 m			0 m	0:00:06	0.1 kph	294° true
Trackpoint	S34.98656 W71.25352	07-06-2018 15:08:48 (UTC-4)	203 m			1 m	0:00:06	0.3 kph	287° true
Trackpoint	S34.98655 W71.25353	07-06-2018 15:08:54 (UTC-4)	203 m			1 m	0:00:06	0.5 kph	322° true
Trackpoint	S34.98653 W71.25366	07-06-2018 15:09:00 (UTC-4)	203 m			13 m	0:00:06	8 kph	281° true
Trackpoint	S34.98647 W71.25371	07-06-2018 15:09:05 (UTC-4)	204 m			8 m	0:00:05	6 kph	328° true
Trackpoint	S34.98646 W71.25372	07-06-2018 15:09:12 (UTC-4)	204 m			1 m	0:00:07	0.7 kph	338° true
Trackpoint	S34.98646 W71.25371	07-06-2018 15:09:18 (UTC-4)	205 m			0 m	0:00:06	0.3 kph	110° true
Trackpoint	S34.98646 W71.25371	07-06-2018 15:09:24 (UTC-4)	205 m			0 m	0:00:06	0.1 kph	54° true
Trackpoint	S34.98646 W71.25371	07-06-2018 15:09:30 (UTC-4)	205 m			0 m	0:00:06	0.2 kph	294° true
Trackpoint	S34.98645 W71.25372	07-06-2018 15:09:36 (UTC-4)	205 m			1 m	0:00:06	0.4 kph	274° true
Trackpoint	S34.98642 W71.25373	07-06-2018 15:09:42 (UTC-4)	205 m			4 m	0:00:06	2 kph	352° true
Trackpoint	S34.98642 W71.25373	07-06-2018 15:09:48 (UTC-4)	205 m			1 m	0:00:06	0.3 kph	316° true
Trackpoint	S34.98630 W71.25374	07-06-2018 15:09:54 (UTC-4)	205 m			13 m	0:00:06	8 kph	356° true
Trackpoint	S34.98621 W71.25374	07-06-2018 15:09:59 (UTC-4)	204 m			10 m	0:00:05	7 kph	1° true
Trackpoint	S34.98620 W71.25374	07-06-2018 15:10:06 (UTC-4)	204 m			1 m	0:00:07	0.7 kph	351° true
Trackpoint	S34.98619 W71.25374	07-06-2018 15:10:12 (UTC-4)	205 m			1 m	0:00:06	0.4 kph	6° true
Trackpoint	S34.98618 W71.25373	07-06-2018 15:10:18 (UTC-4)	205 m			1 m	0:00:06	0.7 kph	24° true
Trackpoint	S34.98618 W71.25373	07-06-2018 15:10:24 (UTC-4)	205 m			1 m	0:00:06	0.5 kph	31° true
Trackpoint	S34.98617 W71.25373	07-06-2018 15:10:30 (UTC-4)	205 m			1 m	0:00:06	0.4 kph	17° true
Trackpoint	S34.98616 W71.25373	07-06-2018 15:10:36 (UTC-4)	205 m			1 m	0:00:06	0.4 kph	353° true
Trackpoint	S34.98616 W71.25373	07-06-2018 15:10:42 (UTC-4)	205 m			1 m	0:00:06	0.4 kph	330° true
Trackpoint	S34.98616 W71.25374	07-06-2018 15:10:48 (UTC-4)	204 m			1 m	0:00:06	0.3 kph	304° true
Trackpoint	S34.98616 W71.25374	07-06-2018 15:10:54 (UTC-4)	205 m			0 m	0:00:06	0.3 kph	273° true
Trackpoint	S34.98616 W71.25375	07-06-2018 15:11:00 (UTC-4)	206 m			0 m	0:00:06	0.3 kph	279° true
Trackpoint	S34.98615 W71.25375	07-06-2018 15:11:06 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	332° true
Trackpoint	S34.98616 W71.25375	07-06-2018 15:11:12 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	163° true
Trackpoint	S34.98616 W71.25375	07-06-2018 15:11:18 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	124° true
Trackpoint	S34.98616 W71.25374	07-06-2018 15:11:24 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	64° true
Trackpoint	S34.98615 W71.25374	07-06-2018 15:11:30 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	31° true
Trackpoint	S34.98615 W71.25374	07-06-2018 15:11:36 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	48° true
Trackpoint	S34.98615 W71.25374	07-06-2018 15:11:42 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	41° true
Trackpoint	S34.98615 W71.25374	07-06-2018 15:11:48 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	9° true
Trackpoint	S34.98615 W71.25374	07-06-2018 15:11:54 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	5° true
Trackpoint	S34.98614 W71.25374	07-06-2018 15:12:00 (UTC-4)	206 m			0 m	0:00:06	0.0 kph	17° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:06 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	34° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:12 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	70° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:17 (UTC-4)	205 m			0 m	0:00:05	0.1 kph	112° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:24 (UTC-4)	206 m			0 m	0:00:07	0.0 kph	205° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:30 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	202° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:36 (UTC-4)	206 m			0 m	0:00:06	0.0 kph	248° true
Trackpoint	S34.98614 W71.25373	07-06-2018 15:12:42 (UTC-4)	205 m			0 m	0:00:06	0.1 kph	318° true
