Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:28 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	281° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:34 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	233° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:17:40 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	210° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:17:46 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	216° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:17:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	145° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:17:58 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	143° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:18:04 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	143° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:18:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	120° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:18:16 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	151° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:18:22 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	165° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:28 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	192° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:34 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	171° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:40 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	226° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:46 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	198° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:52 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	292° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:18:58 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	198° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:19:04 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	125° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:19:10 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	270° true
